symbol,call_put,trade_side,open_date,close_date,expiration,open_price,close_price,pnl_per_contract,underlying_open,underlying_close,delta_on_open,pct_pnl_relative_to_open_price
VXXB  180216C00026000,C,buy,2018-01-22,2018-02-16,2018-02-16,2.1,14.8,12.700000000000001,26.5302,42.12,0.544206,604.7619047619047
VXXB  180420C00041000,C,buy,2018-03-12,2018-04-20,2018-04-20,3.8,1.2,-2.5999999999999996,39.76,42.11,0.497498,-68.42105263157893
VXXB  180518C00042000,C,buy,2018-04-23,2018-05-18,2018-05-18,3.1,0.0,-3.1,41.6,35.4,0.520261,-100.0
VXXB  180615C00035000,C,buy,2018-05-21,2018-06-15,2018-06-15,2.05,0.0,-2.05,34.0,31.62,0.471631,-100.0
VXXB  180720C00032000,C,buy,2018-06-18,2018-07-20,2018-07-20,2.35,0.0,-2.35,31.26,31.42,0.49457,-100.0
VXXB  180817C00031500,C,buy,2018-07-23,2018-08-17,2018-08-17,2.25,0.0,-2.25,31.56,29.4,0.500397,-100.0
VXXB  180921C00029500,C,buy,2018-08-20,2018-09-21,2018-09-21,2.35,0.0,-2.35,28.88,26.78,0.506832,-100.0
VXXB  181019C00027000,C,buy,2018-09-24,2018-10-19,2018-10-19,1.6,7.1,5.5,26.67,34.42,0.495917,343.75
VXXB  181116C00035500,C,buy,2018-10-22,2018-11-16,2018-11-16,3.0,0.0,-3.0,34.58,35.19,0.498219,-100.0
VXXB  181221C00038000,C,buy,2018-11-19,2018-12-21,2018-12-21,3.2,8.6,5.3999999999999995,37.05,47.29,0.507071,168.74999999999997
VXXB  190118C00051000,C,buy,2018-12-24,2019-01-18,2019-01-18,3.9,0.0,-3.9,49.43,37.1,0.484818,-100.0
VXXB  190315C00035000,C,buy,2019-02-04,2019-03-15,2019-03-15,2.3,0.0,-2.3,34.03,28.46,0.480598,-100.0
VXXB  190517C00028000,C,buy,2019-04-08,2019-05-17,2019-05-17,2.09,59.3,57.209999999999994,27.98,28.45,0.532105,2737.3205741626793
VXX   190621C00029500,C,buy,2019-05-20,2019-06-21,2019-06-21,2.21,0.0,-2.21,28.81,26.66,0.500167,-100.0
VXX   190719C00026500,C,buy,2019-06-24,2019-07-19,2019-07-19,1.61,0.0,-1.61,26.37,23.62,0.516723,-100.0
VXX   190816C00023000,C,buy,2019-07-22,2019-08-16,2019-08-16,1.26,4.6,3.34,22.84,28.04,0.494601,265.07936507936506
VXX   190920C00026500,C,buy,2019-08-19,2019-09-20,2019-09-20,2.21,0.0,-2.21,26.14,23.49,0.515251,-100.0
VXX   191018C00023000,C,buy,2019-09-23,2019-10-18,2019-10-18,1.59,0.0,-1.59,22.78,21.35,0.516557,-100.0
VXX   191115C00021000,C,buy,2019-10-21,2019-11-15,2019-11-15,1.16,0.0,-1.16,20.59,17.47,0.480952,-100.0
VXX   191220C00017500,C,buy,2019-11-18,2019-12-20,2019-12-20,1.29,0.0,-1.29,17.35,15.0,0.521225,-100.0
